product_name,average_sentiment_score
"SQUARO ONLINE STORE Unbreakable Setup Box stand/WiFi Router/DTH Telephone/Mobile Shelf/Holder Acrylic Wall Shelf??????(Number of Shelves - 1, White, Black)",1.0
"Mivi Roam2 5 W Bluetooth Speaker??????(Black, Mono Channel)",0.9365079365079365
Voltas Beko DF14W Free Standing 14 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.8493150684931506
Seagate One Touch with Password Protection for Windows & Mac with 3 years Data Recovery Services - Portable 1 TB External Hard Disk Drive (HDD)??????????(Space Gray),0.7833333333333333
"Tata Sky (Works with all TV) Tatasky set top box, Tatasky SD set top box, Tatasky HD set top box, Tatasky DTH Setup box Remote Controller??????(Black)",0.7777777777777778
"SportSoul Cotton Gym & Athletic Abdomen Support??????(Grey, Black)",0.8716475095785441
"USHA FP 3810_ 1000 W Food Processor??????????(Black, Silver)",0.7983193277310925
LUMINOUS Vento Dlx 150 mm 5 Blade Exhaust Fan??????????(White),0.864406779661017
Rixen Cricket Net 20x10 Feet Cricket Net??????(Blue),0.8026315789473685
"Candes 60 L Room/Personal Air Cooler??????(White, Black, CRETA)",0.9615384615384616
PHILIPS hl 1660 700 W Food Processor??????????(White),0.7692307692307693
BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.9067796610169492
MRF (SIZE-6) TANNIS WOODEN KASHMERI POPULER WILLOW Poplar Willow Cricket  Bat??????(0.3 kg),0.6923076923076923
BAJAJ Masterchef 3.0 food processor 600 W Food Processor??????????(White),0.8888888888888888
"Crompton Hill Briz Deco 1200 mm 3 Blade Ceiling Fan??????????(Smoked Brown, Pack of 1)",0.808
Inalsa Fiesta Lx 650 W Food Processor??????????(White),0.7275362318840579
BAJAJ FX 11 Food Factory 600 W Food Processor??????????(White),0.8846153846153846
BAJAJ Fx11 Food Factory 600 W Food Processor??????????(White),0.8373702422145328
Faber FFSD 6PR 12S Neo Free Standing 12 Place Settings Intensive Kadhai Cleaning| No Pre-rinse Required Dishwasher,0.9411764705882353
Inalsa Easy Prep_ 800 W Food Processor??????????(Black),0.7012987012987013
"Flipkart SmartBuy CFXB18 Electric Rice Cooker??????(1.8 L, White, Blue)",0.8685162846803377
Tata Sky Tatasky Old model DTH Compatible Setup box Remote- Black Tata Sky Remote Controller??????(Black),0.8823529411764706
"Candes 12 L Room/Personal Air Cooler??????(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",0.7777777777777778
"DALUCI Set Top Box Stand / WIFI Router Stand / Wall Mount Stand / Wifi Holder MDF (Medium Density Fiber) Wall Shelf??????(Number of Shelves - 2, Black)",0.8181818181818182
Airtel Regular Digital TV SD/HD DTH Compatible Remote UNIVERSAL Remote Controller??????(Black),0.8709677419354839
Inalsa Maxie Premia 800 W Food Processor??????????(Grey PU Spray Painted),0.7777777777777778
F8WARES 14inch Reusable Dishwashing Industrial Gardening Cleaning Rubber Hand Gloves Wet and Dry Glove??????(Large),1.0
